"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,demographics,,text,"Study ID",,,,,,y,,,,,,,
age_years,demographics,AGE,text,"D1.  What is your current age in years?",,"Age in years",integer,1,120,,"[event-id]=""86473""",,,,,,
birth_year,demographics,,text,"D1a.  What is your year of birth?

(OPTIONAL)",,YYYY,integer,1920,2030,y,[event-id]='86473',,,,,,
dob,demographics,,text,"D1b.  What is your date of birth?

(OPTIONAL)",,MM-DD-YYYY,date_mdy,,,,[event-id]='86473',,,,,," @HIDEBUTTON"
sex_at_birth,demographics,"SEX AT BIRTH",radio,"D2.  What sex were you assigned at birth, on your original birth certificate?","1, Female | 2, Male",,,,,,[event-id]='86473',y,,,,,
race,demographics,"ETHNICITY/RACE:  MATCH NIH REPORTING",checkbox,"D3.  What is your race and/or ethnicity?  (Select all that apply.)","1, American Indian or Alaska Native | 2, Asian, Asian American, or Southeast Asian, including Chinese, Japanese, and others | 3, Black or African American | 4, Hispanic or Latino(a) or Latine/x | 5, Middle Eastern or North African | 6, Native Hawaiian or Other Pacific Islander | 7, White or Caucasian | 8, Something else (specify) {race_other}",,,,,,[event-id]='86473',y,,,,,
race_other,demographics,,text,"D3other.  Specify other race and/or ethnicity.",,,,,,,"[race(8)] = '1' and [event-id]='86473'",y,,,,,
ethnicity,demographics,,checkbox,"D3a.  Which ethnic group or groups do you identify as?  (Select all that apply.)

(OPTIONAL)","1, Mexican, Mexican American, Mexicano(a), or Chicano(a) | 2, Puerto Rican | 3, Central or South American | 4, Cuban or Cuban American | 5, Dominican (from Dominican Republic) | 6, Something else (specify)  {ethnicity_other}",,,,,,"[event-id]=""86473""",,,,,,
ethnicity_other,demographics,,text,"D3aother.  Specify other ethnic group(s).

(OPTIONAL)",,,,,,,"[race(6)] = '1' and [event-id]='86473'",,,,,,
marital_status,demographics,"MARITAL STATUS",radio,"D4.  What is your current marital status?","1, Married | 2, Living as married (with a romantic partner) | 3, Widowed | 4, Divorced | 5, Separated | 6, Never Married | 7, Something else (specify)  {marital_other}",,,,,,[event-id]='86473',,,,,,
marital_other,demographics,,text,"D4other.  Specify other current marital status.",,,,,,,"[marital_status]='7' and [event-id]=""86473""",,,,,,
education,demographics,EDUCATION,radio,"D5.  What is the highest grade or level of school you have completed or the highest degree you have received?","1, Did not complete high school; enter highest grade completed {educ_highest_grade} | 2, High school diploma, GED, or equivalent | 3, Some technical or college, but no certificate or degree | 4, Technical/trade/certificate school or program | 5, Associate's Degree (e.g., AA or AS) | 6, Bachelor's Degree (e.g., BA or BS) or higher",,,,,,,,,,,,
educ_highest_grade,demographics,,text,"D5grade.  Highest grade completed",,,integer,0,12,,[education]='1',y,,,,,
education_degrees,demographics,,checkbox,"D5a.  What degrees or certificates have you received?  (Select all that apply.)

(OPTIONAL)","1, None | 2, High school diploma, GED, ABE, or equivalent | 3, Some technical or college, but no certificate or degree | 4, Technical/trade school | 5, Associate's degree (e.g., AA or AS) | 6, Bachelor's degree (e.g., BA or BS) or higher | 7, Some graduate school, but no degree | 8, Graduate school (Masters, Doctorate, or other) | 9, Something else (specify)  {education_degrees_other}",,,,,,,,,,,," @NONEOFTHEABOVE='1'"
education_degrees_other,demographics,,text,"What other degree(s) or certificate(s) have you received?",,,,,,,[education_degrees(9)]='1',,,,,,
housing,demographics,"HOUSING STATUS:  HOUSING SITUATION IN THE PAST 90 DAYS (OR DURING THE 90 DAYS PRIOR TO CURRENT DETENTION)",checkbox,"D6.  Where have you lived or slept during the past 90 days OR during the 90 days prior to the current detention?  (Select all that apply.)","1, Your own house or apartment | 2, Family/friend/partner's house or apartment | 3, Rented room (e.g., hotel, motel, or rooming house) | 4, Outdoors or in an informal location (e.g., tent, abandoned building, car or other vehicle, park, street) | 5, Shelter | 6, Hospital, skilled nursing facility, or other medical care setting | 7, Jail, prison, detention center, or juvenile hall | 8, Residential facility or institution (e.g., substance use disorder treatment facility or detox, HIV/AIDS housing, or group home) | 9, Sober living facility or recovery housing | 10, Somewhere else (specify)  {housing_other}",,,,,,,,,,,,
housing_other,demographics,,text,"D6other.  Specify other housing.",,,,,,,[housing(10)]='1',,,,,,
zipcode,demographics,,text,"D6a.  Participant ZIP code

(OPTIONAL)",,,zipcode,,,,,,,,,,
work_school,demographics,"WORK STATUS",checkbox,"D7.  Which of the following statements best describes your work or school situation in the past 90 days OR during the 90 days prior to the current detention.  (Select all that apply.)","1, Working full-time, 35 hours or more a week | 2, Working part-time, less than 35 hours a week | 3, Have a job where you are paid one day at a time (day labor) | 4, Have a job, but not at work because of treatment, extended illness, maternity leave, furlough or strike | 5, Have a job but not at work because it is seasonal work | 6, Unemployed or laid off and looking for work | 7, Unemployed or laid off and not looking for work | 8, Full-time homemaker (keeping house) | 9, In school or training | 10, In school or training, but not currently going to classes | 11, Retired | 12, In jail, prison or detention | 13, Too disabled for work (Please describe disability)  {work_disability} | 14, In the military | 15, Doing volunteer work | 16, Some other work situation (specify)  {work_other}",,,,,,,y,,,,,
work_disability,demographics,,text,"D7disability.  Please describe disability.",,,,,,,[work_school(13)]='1',y,,,,,
work_other,demographics,,text,"D7other.  Please describe other work situation.",,,,,,,[work_school(16)]='1',y,,,,,
insurance,demographics,INSURANCE,checkbox,"D8.  What type(s) of health insurance or health care plan do you currently have or did you have prior to entering jail or prison?  (Select all that apply.)","1, I don't have health insurance | 2, Employer or union plan | 3, Private plan purchased directly (not through employer or government) | 4, Medicare (federal program for people 65+ or with certain disabilities) | 5, Medicaid (state/federal program based on income or disability) | 6, Military or veterans' health care (e.g., TRICARE, VA, CHAMP-VA) | 7, Indian Health Service | 8, Marketplace or state-sponsored health plan (""Obamacare,"" Affordable Care Act exchange) | 9, Other (specify)  {insurance_other}",,,,,,,,,,,," @NONEOFTHEABOVE='1'"
insurance_other,demographics,,text,"D8other.  Specify other health insurance.",,,,,,,"[insurance(9)] = '1'",,,,,,
insurance_days,demographics,,text,"<div class=""rich-text-field-label""><p>D8a.  During the past 90 days OR during the 90 days prior to the current detention, on how many days did you have any of these kinds of insurance?  (Number of days)</p> <p> </p> <p>(OPTIONAL)</p></div>",,"Number of days (out of 90 days)",integer,0,90,,[insurance]<>'1',,,,,,
insurance_coverage,demographics,,checkbox,"D8b.  Which of the following did you have coverage for?  (Select all that apply.)

(OPTIONAL)","1, Medical (doctor, hospital, emergency care) | 2, Dental | 3, Vision | 4, Extra cash/limited benefit plan (e.g., fixed cash benefit like Aflac) | 5, Other (specify)  {insurance_coverage_other}",,,,,,[insurance_days]>'0',,,,,,
insurance_coverage_other,demographics,,text,"Specify what you had insurance coverage for.",,,,,,,[insurance_coverage(5)]='1',,,,,,
children_under18,demographics,"CAREGIVER STATUS",radio,"D9.  How many children do you have who are under 18 years old?  Please count any biological, foster, or adopted children, or children you are raising as a step-parent.  Please include children even if they are not living with you.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 or more children",,,,,,,,,,,,
caretaker,demographics,,radio,"D10.  Are you the caretaker for one or more children...?  (Optional stem endings include:  before your current legal involvement, before your current incarceration.)","1, Yes | 0, No",,,,,,,,,,,,
transportation,demographics,"TRANSPORT:  WHAT TYPES OF TRANSPORT DO YOU USUALLY USE?",checkbox,"D11.  During the past 90 days OR during the 90 days prior to the current detention, what modes of transportation do you usually use?  (Select all that apply.)

(OPTIONAL)","1, I drive myself | 2, Family or friend drives me | 3, Transportation provided by a program or service | 4, Bus | 5, Subway, light rail, or other train system | 6, Taxi/rideshare | 7, Bike or scooter | 8, Walk | 9, Other (describe)  {transportation_other}",,,,,,,,,,,,
transportation_other,demographics,,text,"Describe other mode(s) of transportation.",,,,,,,[transportation(9)]='1',,,,,,
days_controlled_env,substance_use,"DAYS IN CONTROLLED ENVIRONMENT",text,"S1.  During the past 90 days OR during the 90 days prior to the current detention, on how many days have you been in a jail, hospital or other place where you could not use opioids, stimulants, alcohol, or other drugs?",,"Number of days",integer,0,90,,,,,,,,
recency_header,substance_use,"USE:  RECENCY OF 6 DSM-5 DRUG CLASSES AND PAST 90 DAYS FREQUENCY OF ABSTINENCE",descriptive,"<div class=""blue"">The next questions (S1a-S1f) are about use of alcohol and other drugs. Alcohol includes beer, wine, whiskey, gin, scotch, tequila, rum or mixed drinks. ""Other drugs"" include a) cannabis, b) other street drugs like crack, heroin, PCP, or poppers, c) inhalants like glue or gasoline or d) any non-medical use of prescription-type drugs (not prescription, more or longer than recommended, in combination with other things). In parentheses are other common names used for each type of substance, including medications. Brand names of medications have their first letter capitalized.

If you used multiple drugs from the same category at different times, please select the timeframe for when you most recently used a drug from that category.",,,,,,,,,,,,,
lastuse_alcohol,substance_use,"When was the last time that you used...",radio,"S1a.  ...any kind of alcohol, including beer, wine, or mixed drinks (beer, gin, rum, scotch, tequila, whiskey, wine, or mixed drinks)?","2, The past 30 days | 1, More than 30 days ago | 0, Never",,,,,,,y,,,lastuse,,
lastuse_cannabis,substance_use,,radio,"S1b.  ...cannabis, hashish, blunts, or THC (edibles, herb, joints, reefer, weed, including medical cannabis, code K2 or artificial marijuana under ""other"")?","2, The past 30 days | 1, More than 30 days ago | 0, Never",,,,,,,y,,,lastuse,,
lastuse_stimulant,substance_use,,radio,"S1c.  ...cocaine, methamphetamine, amphetamine, or other stimulants (such as Adderall, Aptensio, atomoxetihne, Concerta, crack, Biphetamine, Benzedrine, Daytrana, Desoxyn, Dexedrine, dextroamphetamine, ecstacy, Focalin, lisdexamfetamine, MDMA, methylphenidate, Quillichew, Quillivant, Ritalin, Strattera, Vyvase)?","2, The past 30 days | 1, More than 30 days ago | 0, Never",,,,,,,y,,,lastuse,,
lastuse_opioids,substance_use,,radio,"S1d.  ...any kind of heroin, fentanyl, or other opioids including prescription medication (such as buprenorphine, codeine, crystal, Darvocet, Darvon, Demerol, Desoxyn, Dilaudid, Dolophine, glass, ice, Karachi, methadone, methedrine, morphine, Norco, Opana, opium, OxyContin, Oxymorphone, Oxys, Percocet, Percodan, Propoxyphene, Suboxone, Talwin, Tylenol with codeine, Vicodin, Zohyrdo)?","2, The past 30 days | 1, More than 30 days ago | 0, Never",,,,,,,y,,,lastuse,,
lastuse_downers,substance_use,,radio,"S1e.  ...benzodiazepines or other downers, barbituates, sedatives, or antianxiety drugs (such as Ativan, alprazolam, Byfavo, chlordiazepoxide, clonazepam, Dalmane, dexmedetomidine, diazepam, Doral, Doriden, estazolam, Elrodorm, flurazepam, flunitrazepam, GBL/GHB, Halcion, Klonopin, Librax, Librium, liquid ecstasy, lorazepam, medetomidine, methaqualone, Meprobamate, midazolam, Miltown, Niravam, Noxyron, oxazepam, phenobarbital, Placidyl, ProSom, quazepam, Quaalude, remimazolam, Restoril, Rohypnol, secobarbital, Secobarbital, Seconal, Serax, Sopo, temazepam, triazolam, Tuinal, Valium, Xanax, xylazine)?","2, The past 30 days | 1, More than 30 days ago | 0, Never",,,,,,,y,,,lastuse,,
lastuse_otherdrug,substance_use,,radio,"S1f.  ...hallucinogens, inhalants, designer or any other drug that has not been mentioned?  (Describe below.)   [If you used multiple other drugs at different times, please indicate the most recent episode.]","2, The past 30 days | 1, More than 30 days ago | 0, Never",,,,,,,y,,,lastuse,,
lastuse_otherdrug_specify,substance_use,,text,"S1f1.  Specify other drug(s) used.",,,,,,,[lastuse_otherdrug]<>'0',y,,,,,
abstinence,substance_use,,text,"S2aa.  During the past 90 days OR during the 90 days prior to the current detention, on how many days were you abstinent from any kind of opioid, stimulant, alcohol or other drugs?  (Probe if 90.)

<font color=""blue"">Note:  Skip if ALL of S1a - S1f are ""Never.""",,"Number of days (out of 90 days)",integer,0,90,,,,,,,,
